Alert ID,Feed,Issue Date,"Article Title","Disease",Lat,Lng,"Location",Cases,Deaths,Rating
6597280,Google News,2019-07-30 23:40:45,"Mozambique: Malaria deaths in capital slashed by almost 70pct - Macau ...","Malaria",-17.260059,35.552200,"Mozambique",,,4
6596818,ProMED Mail,2019-07-30 22:48:16,"PRO/AH/EDR> Yellow fever - Africa (10): Cote d'Ivoire","Yellow Fever",7.631530,-5.000000,"Cote d'Ivoire",,,3
6596643,Google News,2019-07-30 16:05:55,"Yellow fever outbreak in Ivory Coast kills one: health ministry - ...","Yellow Fever",7.631530,-5.000000,"Cote d'Ivoire",,,4
6594542,ProMED Anglophone Africa,2019-07-30 16:36:27,"PRO/EAFR> Dengue - Tanzania (04): increase in cases","Dengue",-6.000000,35.000000,"Tanzania",,,3
6596538,Google News,2019-07-30 15:01:04,"Malaria drugs failure rate high among malnourished children - ...","Malaria",0.529860,37.857880,"Kenya",,,4
6596178,Google News,2019-07-30 11:01:13,"Making retail medicine outlets a catalyst for malaria case management ...","Malaria",7.959850,-1.207300,"Ghana",,,3
6596175,Google News,2019-07-30 10:02:00,"Group targets malaria prevention in Nigeria, two other countries - ...","Malaria",9.593960,8.105310,"Nigeria",,,4
6595438,Google News,2019-07-30 02:00:00,"Malaria Prevalence Rates Drop By 10% - New Vision","Malaria",1.279960,32.386219,"Uganda",,,4
6595080,Google News,2019-07-29 14:44:52,"Mosquitoes test positive for West Nile Virus in Dane County - WMTV","West Nile Virus",1.279960,32.386219,"Uganda",,,4
6594892,Google News,2019-07-29 19:02:18,"Malaria in Burundi: Nearly 6 million cases to date - Outbreak News ...","Malaria",-3.356170,29.887150,"Burundi",,,3
6593966,Google News,2019-07-29 09:58:08,"UK Government strengthens Uganda's response to fight malaria - Uganda ...","Malaria",1.279960,32.386219,"Uganda",,,4
6593409,Google News,2019-07-29 04:24:00,"Epidemiologists hold 8th Annual Scientific Conference in Jos - ...","Yellow Fever",9.593960,8.105310,"Nigeria",,,4
6592524,Google News,2019-07-28 11:12:23,"Malaria vaccine protects against severe malaria 7 years after ...","Malaria",-6.000000,35.000000,"Tanzania",,,3
6592524,Google News,2019-07-28 11:12:23,"Malaria vaccine protects against severe malaria 7 years after ...","Malaria",0.529860,37.857880,"Kenya",,,3
6592524,Google News,2019-07-28 11:12:23,"Malaria vaccine protects against severe malaria 7 years after ...","Malaria",12.277930,-1.740140,"Burkina Faso",,,3
6592442,Chinese RSS News,2019-07-28 04:21:15,"Dengue fever outbreak in Tanzania has caused 6677 people to infect 13 ...","Dengue",-6.000000,35.000000,"Tanzania",6677,13,3
6592442,Chinese RSS News,2019-07-28 04:21:15,"Dengue fever outbreak in Tanzania has caused 6677 people to infect 13 ...","Dengue",-6.822921,39.269661,"Dar es Salaam, Tanzania",6631,11,3
6591707,Google News,2019-07-27 20:49:00,"Dengue fever kills 13 in Tanzania - ANI News","Dengue",-6.000000,35.000000,"Tanzania",,,4
6590672,ProMED Mail,2019-07-27 09:35:08,"PRO/EDR> Podoconiosis - Uganda: not filariasis","Filariasis",1.279960,32.386219,"Uganda",,,1
6590685,Google News,2019-07-27 01:45:05,"USAID funded anti-malaria drive cuts prevalence among expectant ...","Malaria",-6.000000,35.000000,"Tanzania",,,3
6589336,Google News,2019-07-26 08:02:00,"Malaria: Gold Coaster Anthony Waker ends up with malaria after ...","Malaria",7.959850,-1.207300,"Ghana",,,3
6586875,Google News,2019-07-24 13:09:48,"More mosquitoes lead to rise in West Nile cases in Maricopa County - ...","West Nile Virus",1.279960,32.386219,"Uganda",,,3
6586546,Google News,2019-07-24 23:19:53,"Apac changes tact in fight against malaria - Daily Monitor","Malaria",1.279960,32.386219,"Uganda",,,4
6584077,Google News,2019-07-22 17:54:34,"Malaria: Expert Tasks Residents On Clean Environment - Leadership ...","Malaria",12.000000,9.750000,"Jigawa State, Nigeria",,,3
6583902,Google News,2019-07-23 12:52:37,"Mass Administration Of Anti-Malaria Drug To Children Begins - Peace ...","Malaria",7.959850,-1.207300,"Ghana",,,1
6582308,Google News,2019-07-21 12:33:00,"The latest travel warnings for holidays to Spain, Greece, Turkey and ...","West Nile Virus",34.110859,9.561340,"Tunisia",,,3
6580513,Google News,2019-07-21 23:31:00,"Group wants strategic intervention to curb malaria - Guardian","Malaria",9.593960,8.105310,"Nigeria",,,3
6572797,Google News,2019-07-17 05:27:35,"GHS to administer new anti-malaria drug to children - Ghana Business ...","Malaria",7.959850,-1.207300,"Ghana",,,1
