HealthMap data are freely available for research purposes only.  If you require a dataset for non-academic purposes or with a larger date range and/or more meta information please contact info@healthmap.org.
Alert ID,Feed,Issue Date,"Article Title","Disease",Lat,Lng,"Location",Cases,Deaths,Rating
6797840,ProMED Português,2019-11-25 22:06:19,"PRO/PORT> Dengue - Sudão, OMS/WHO","Dengue",13.831530,30.049950,"Sudan",,,3
6796287,Google News,2019-11-23 00:03:45,"Sudan: OCHA Sudan Sitrep - Rift Valley Fever Outbreak in Sudan - ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6795414,Google News,2019-11-22 16:02:35,"Sudan: Dengue Fever Outbreak - Aug 2019 - ReliefWeb","Dengue",13.831530,30.049950,"Sudan",,,1
6794635,Google News,2019-11-22 04:30:00,"6 Facts about the Yellow Fever Outbreak in Nigeria - Borgen Project","Yellow Fever",9.593960,8.105310,"Nigeria",,,3
6793221,ProMED Français,2019-11-23 15:05:50,"PRO/FR> Dengue - Sénégal: (Centre-Ouest)","Dengue",14.366970,-14.467650,"Senegal",,,3
6793625,Google News,2019-11-21 12:06:37,"Cameroon:National Malaria Control Program finally reacts to alleged - ...","Malaria",5.685950,12.743590,"Cameroon",,,4
6793021,World Health Organization,2019-11-21 19:00:00,"Dengue fever &ndash; Republic of the Sudan","Dengue",13.831530,30.049950,"Sudan",,,3
6787770,ProMED Mail,2019-11-20 11:55:02,"PRO/AH/EDR> Rift Valley fever - Sudan (07): (RS,RN) human, livestock, ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6780122,ProMED Middle East,2019-11-19 19:43:15,"PRO/MENA> Malaria - Libya (03): (Wadi ash Shati) increasing ...","Malaria",27.799999,12.733330,"Wādī ash Shāţi’, Ash Shāţiʼ, Libya",,,3
6786885,Google News,2019-11-19 11:53:03,"87 cases of dengue fever recorded in Sudan - Radio Dabanga","Dengue",13.831530,30.049950,"Sudan",,,4
6786593,موقع منظمة الصحة العالمي (WHO AR),2019-11-13 19:00:00,"Rift Valley Fever - Sudan","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6786292,Organisation mondiale de la Santé,2019-11-13 19:00:00,"Rift Valley Fever - Republic of Sudan","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6785763,Google News,2019-11-18 20:33:53,"Yellow fever in Nigeria: 150 deaths in 2019 - Outbreak News Today","Yellow Fever",9.593960,8.105310,"Nigeria",,,4
6783567,ProMED Mail,2019-11-18 13:14:41,"PRO/EDR> Dengue/DHF update (21): Asia, Pacific, Africa, Europe, ...","Dengue",10.166580,40.646889,"Gewanē, Āfar, Ethiopia",,,3
6783567,ProMED Mail,2019-11-18 13:14:41,"PRO/EDR> Dengue/DHF update (21): Asia, Pacific, Africa, Europe, ...","Dengue",13.831530,30.049950,"Sudan",,,3
6783567,ProMED Mail,2019-11-18 13:14:41,"PRO/EDR> Dengue/DHF update (21): Asia, Pacific, Africa, Europe, ...","Dengue",-12.295290,17.544680,"Angola",,,3
6783689,Google News,2019-11-13 19:03:18,"Don: Nigeria needs N420bn to eradicate malaria by 2030 - New ...","Malaria",9.593960,8.105310,"Nigeria",,,4
6781439,Google News Português,2019-11-16 03:14:28,"Angola records over 700 malaria cases per hour - e-Global Noticias in ...","Malaria",-12.295290,17.544680,"Angola",,,3
