HealthMap data are freely available for research purposes only.  If you require a dataset for non-academic purposes or with a larger date range and/or more meta information please contact info@healthmap.org.
Alert ID,Feed,Issue Date,"Article Title","Disease",Lat,Lng,"Location",Cases,Deaths,Rating
6762794,Food and Agriculture Org,2019-10-31 00:00:00,"Confirmed Rift Valley fever in Gadaref, Sudan - human","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6762795,Food and Agriculture Org,2019-10-31 00:00:00,"Confirmed Rift Valley fever in Kassala, Sudan - human","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6762796,Food and Agriculture Org,2019-10-31 00:00:00,"Confirmed Rift Valley fever in White Nile, Sudan - human","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6754637,Google News,2019-10-30 08:26:00,"WHO: More than 7 Million Malaria Cases in Burundi Outbreak - Tasnim ...","Malaria",-3.356170,29.887150,"Burundi",,,4
6753640,Google News,2019-10-30 09:27:56,"Malaria epidemic kills 10 in North Darfur - Radio Dabanga","Malaria",13.831530,30.049950,"Sudan",,,3
6753491,Google News,2019-10-30 08:43:38,"Residents urged to have regular checkups after 3 die of malaria in ...","Malaria",0.529860,37.857880,"Kenya",,,4
6752782,ProMED Mail,2019-10-30 06:20:05,"PRO/AH/EDR> Yellow fever - Africa (20): Uganda, card sale without vacc","Yellow Fever",1.279960,32.386219,"Uganda",,,3
6752944,Google News,2019-10-29 21:39:12,"Health Tips to Cover Before your Morocco Vacations | Buzz travel - ...","Malaria",31.883619,-6.317850,"Morocco",,,4
6752631,Twitter,2019-10-29 17:11:08,"NEWS SCAN: #Ebola cases rise; Another #MERS infection; #Lassa vaccine ...","Malaria",-3.356170,29.887150,"Burundi",,,3
6752346,Google News,2019-10-29 14:23:00,"Outbreak of 'strange illness' claims many in Katsina - Daily Trust","Yellow Fever",12.250000,7.500000,"Katsina State, Nigeria",,,3
6751955,Google News,2019-10-29 04:24:42,"Gambia: The Virtuous Leadership of Alhaji Sir Dawda Kairaba Jawara - ...","Malaria",13.500000,-15.500000,"Gambia",,,3
6751668,Google News,2019-10-29 07:23:00,"Zambia : Malaria death down by 70% - Lusaka Times","Malaria",-13.953020,27.798250,"Zambia",,,4
6750529,Google News,2019-10-28 13:27:33,"Rift Valley fever outbreak in Sudan - Outbreak News Today","Rift Valley Fever",13.831530,30.049950,"Sudan",,,4
6749524,Google News,2019-10-27 17:57:41,"Nigeria outbreaks 2019 - Outbreak News Today","Yellow Fever",9.593960,8.105310,"Nigeria",,,4
6748680,Google News,2019-10-24 02:06:38,"Rwandans Positive on Malaria Fight - Study - AllAfrica.com","Malaria",-1.997890,29.917650,"Rwanda",,,3
6748161,Google News,2019-10-26 11:16:10,"Africa: Burundi malaria cases rise to 6.8 million cases through ...","Malaria",-3.356170,29.887150,"Burundi",,,4
6745546,ProMED Mail,2019-10-25 15:46:42,"PRO/AH/EDR> Rift Valley fever - Sudan (04): human, livestock, spread, ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6745546,ProMED Mail,2019-10-25 15:46:42,"PRO/AH/EDR> Rift Valley fever - Sudan (04): human, livestock, spread, ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6746716,Google News,2019-10-25 11:27:08,"Panic in Nakuru village as 3 die of malaria in one week - Daily Nation","Malaria",0.529860,37.857880,"Kenya",,,4
6746179,Food and Agriculture Org,2019-10-24 00:00:00,"Confirmed Rift Valley fever in Khartoum, Sudan - human","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6746178,Food and Agriculture Org,2019-10-24 00:00:00,"Confirmed Rift Valley fever in Nile, Sudan - human","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6745082,Google News,2019-10-24 11:28:07,"NMCP trains 40 laboratory professionals on Malaria diagnostics in ...","Malaria",7.959850,-1.207300,"Ghana",,,3
6744723,Google News,2019-10-24 10:59:00,"Disease outbreaks in Sudan: Dengue Fever, Rift Valley Fever and ...","Dengue",13.831530,30.049950,"Sudan",,,4
6744723,Google News,2019-10-24 10:59:00,"Disease outbreaks in Sudan: Dengue Fever, Rift Valley Fever and ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,4
6743935,Google News,2019-10-24 02:10:00,"Africa 'highly unlikely' to meet 2030 deadline on malaria eradication ...","Malaria",9.054970,7.489590,"Abuja, Federal Capital Territory, Nigeria",,,4
6743618,Google News,2019-10-23 20:06:58,"Combating Malaria though Softgel Technology - THISDAY Newspapers","Malaria",9.593960,8.105310,"Nigeria",,,3
6740686,Google News,2019-10-22 10:00:48,"West Nile Delta project enhances Egypt's energy production - Dredging ...","West Nile Virus",26.494249,29.871960,"Egypt",,,3
6740505,Google News,2019-10-22 08:40:00,"What’s Worse: GMO Mosquitoes Or Dying Babies? Here’s The Real Cost Of ...","Malaria",-12.295290,17.544680,"Angola",,,4
6739345,Google News,2019-10-17 12:33:22,"Gene drive could help Uganda eliminate malaria - Alliance for Science","Malaria",1.279960,32.386219,"Uganda",,,4
6732812,ProMED Middle East,2019-10-20 11:01:28,"PRO/MENA> Rift Valley fever - Sudan (02): (River Nile) increasing ...","Rift Valley Fever",19.000000,33.200001,"River Nile, Sudan",,,3
6737199,Google News,2019-10-20 03:58:27,"Nigeria; what are we borrowing these trillions for? - The Nigerian ...","Malaria",9.593960,8.105310,"Nigeria",,,4
6737144,Google News,2019-10-20 04:25:00,"Lack of food pushes S.Sudan opposition troops to desert training ...","Malaria",13.831530,30.049950,"Sudan",,,3
6736571,ProMED Mail,2019-10-19 23:04:01,"PRO/AH/EDR> Rift Valley fever - Sudan (03): (RS, RN) human, ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6736571,ProMED Mail,2019-10-19 23:04:01,"PRO/AH/EDR> Rift Valley fever - Sudan (03): (RS, RN) human, ...","Rift Valley Fever",11.749680,42.577770,"Djibouti",,,3
6736571,ProMED Mail,2019-10-19 23:04:01,"PRO/AH/EDR> Rift Valley fever - Sudan (03): (RS, RN) human, ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6736571,ProMED Mail,2019-10-19 23:04:01,"PRO/AH/EDR> Rift Valley fever - Sudan (03): (RS, RN) human, ...","Rift Valley Fever",20.000000,36.000000,"Red Sea, Sudan",,,3
6736571,ProMED Mail,2019-10-19 23:04:01,"PRO/AH/EDR> Rift Valley fever - Sudan (03): (RS, RN) human, ...","Rift Valley Fever",19.000000,33.200001,"River Nile, Sudan",,,3
6736574,Google News,2019-10-14 13:52:33,"Ministry of Health confirms: Rift Valley Fever in River Nile state - ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6735332,ProMED Mail,2019-10-18 19:51:24,"PRO/AH/EDR> Rift Valley fever - Eastern Africa (03): Kenya (GA) ...","Rift Valley Fever",0.529860,37.857880,"Kenya",,,3
6735332,ProMED Mail,2019-10-18 19:51:24,"PRO/AH/EDR> Rift Valley fever - Eastern Africa (03): Kenya (GA) ...","Rift Valley Fever",-0.456944,39.658333,"Garissa, North-Eastern, Kenya",,,3
6734432,Google News Português,2019-10-18 09:43:00,"Sharjah Charity International rescues flood victims in Sudan - WAM","Malaria",13.831530,30.049950,"Sudan",,,1
6726193,ProMED Middle East,2019-10-17 11:39:01,"PRO/MENA> Rift Valley fever - Sudan: (Red Sea) goat, OIE / حمي الوادي ...","Rift Valley Fever",20.000000,36.000000,"Red Sea, Sudan",,,3
6730956,Google News,2019-10-16 12:53:00,"USP Develops Test that Identifies Zika Virus More Accurately - Folha ...","Zika virus",9.916670,8.900000,"Jos, Plateau, Nigeria",,,3
6729323,ProMED Mail,2019-10-16 14:49:38,"PRO/AH/EDR> Yellow fever - Africa (19): Nigeria (BA)","Yellow Fever",10.500000,10.000000,"Bauchi State, Nigeria",,,3
6729633,Google News,2019-10-16 05:32:06,"13 States Benefit from Global Fund Malaria Initiative - THISDAY ...","Malaria",9.054970,7.489590,"Abuja, Federal Capital Territory, Nigeria",,,4
6729633,Google News,2019-10-16 05:32:06,"13 States Benefit from Global Fund Malaria Initiative - THISDAY ...","Malaria",10.333333,7.750000,"Kaduna State, Nigeria",,,4
