Alert ID,Feed,Issue Date,"Article Title","Disease",Lat,Lng,"Location",Cases,Deaths,Rating
6796287,Google News,2019-11-23 00:03:45,"Sudan: OCHA Sudan Sitrep - Rift Valley Fever Outbreak in Sudan - ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6795414,Google News,2019-11-22 16:02:35,"Sudan: Dengue Fever Outbreak - Aug 2019 - ReliefWeb","Dengue",13.831530,30.049950,"Sudan",,,1
6794635,Google News,2019-11-22 04:30:00,"6 Facts about the Yellow Fever Outbreak in Nigeria - Borgen Project","Yellow Fever",9.593960,8.105310,"Nigeria",,,3
6793221,ProMED Français,2019-11-23 15:05:50,"PRO/FR> Dengue - Sénégal: (Centre-Ouest)","Dengue",14.366970,-14.467650,"Senegal",,,3
6793625,Google News,2019-11-21 12:06:37,"Cameroon:National Malaria Control Program finally reacts to alleged - ...","Malaria",5.685950,12.743590,"Cameroon",,,3
6793021,World Health Organization,2019-11-21 19:00:00,"Dengue fever &ndash; Republic of the Sudan","Dengue",13.831530,30.049950,"Sudan",,,3
6787770,ProMED Mail,2019-11-20 11:55:02,"PRO/AH/EDR> Rift Valley fever - Sudan (07): (RS,RN) human, livestock, ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6780122,ProMED Middle East,2019-11-19 19:43:15,"PRO/MENA> Malaria - Libya (03): (Wadi ash Shati) increasing ...","Malaria",27.799999,12.733330,"Wādī ash Shāţi’, Ash Shāţiʼ, Libya",,,3
6786885,Google News,2019-11-19 11:53:03,"87 cases of dengue fever recorded in Sudan - Radio Dabanga","Dengue",13.831530,30.049950,"Sudan",,,4
6786593,موقع منظمة الصحة العالمي (WHO AR),2019-11-13 19:00:00,"Rift Valley Fever - Sudan","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6786292,Organisation mondiale de la Santé,2019-11-13 19:00:00,"Rift Valley Fever - Republic of Sudan","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6785763,Google News,2019-11-18 20:33:53,"Yellow fever in Nigeria: 150 deaths in 2019 - Outbreak News Today","Yellow Fever",9.593960,8.105310,"Nigeria",,,4
6783567,ProMED Mail,2019-11-18 13:14:41,"PRO/EDR> Dengue/DHF update (21): Asia, Pacific, Africa, Europe, ...","Dengue",10.166580,40.646889,"Gewanē, Āfar, Ethiopia",,,3
6783567,ProMED Mail,2019-11-18 13:14:41,"PRO/EDR> Dengue/DHF update (21): Asia, Pacific, Africa, Europe, ...","Dengue",13.831530,30.049950,"Sudan",,,3
6783567,ProMED Mail,2019-11-18 13:14:41,"PRO/EDR> Dengue/DHF update (21): Asia, Pacific, Africa, Europe, ...","Dengue",-12.295290,17.544680,"Angola",,,3
6783689,Google News,2019-11-13 19:03:18,"Don: Nigeria needs N420bn to eradicate malaria by 2030 - New ...","Malaria",9.593960,8.105310,"Nigeria",,,4
6781439,Google News Português,2019-11-16 03:14:28,"Angola records over 700 malaria cases per hour - e-Global Noticias in ...","Malaria",-12.295290,17.544680,"Angola",,,3
6780269,Google News Português,2019-11-15 09:54:25,"550 cases of dengue reported this year | Society - Journal of Angola","Dengue",-12.295290,17.544680,"Angola",,,3
6778363,Google News,2019-11-14 06:56:35,"Rift Valley Fever – Republic of the Sudan - Sudan - ReliefWeb","Rift Valley Fever",13.831530,30.049950,"Sudan",,,4
6778109,Google News,2019-11-14 06:16:00,"British doctor halts fatal malaria in 72 villages - Evening Standard","Malaria",-13.215800,34.307232,"Malawi",,,4
6778012,World Health Organization,2019-11-13 19:00:00,"Rift Valley Fever &ndash; Republic of the Sudan","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6778012,World Health Organization,2019-11-13 19:00:00,"Rift Valley Fever &ndash; Republic of the Sudan","Malaria",13.831530,30.049950,"Sudan",,,3
6775634,ProMED Mail,2019-11-13 11:32:10,"PRO/AH/EDR> Rift Valley fever - Eastern Africa (05): Kenya (LK) ...","Rift Valley Fever",0.529860,37.857880,"Kenya",,,3
6775634,ProMED Mail,2019-11-13 11:32:10,"PRO/AH/EDR> Rift Valley fever - Eastern Africa (05): Kenya (LK) ...","Rift Valley Fever",0.529860,37.857880,"Kenya",,,3
6776340,Google News,2019-11-13 10:24:00,"Zambia : Itezhi-Tezhi records reduction in Malaria cases - Lusaka ...","Malaria",-13.953020,27.798250,"Zambia",,,3
6776169,Google News,2019-11-13 08:10:43,"Malaria and malnutrition stalk central Somalia as more families flee ...","Malaria",6.063720,47.862591,"Somalia",,,3
6776089,Google News,2019-11-13 06:46:33,"17 die of dengue fever in Kassala - Radio Dabanga","Dengue",15.450990,36.399979,"Kassala, Kassala State, Sudan",,17,4
6775112,ProMED Mail,2019-11-12 18:14:39,"PRO/AH/EDR> Rift Valley fever - Eastern Africa (04): Kenya (LK) alert","Rift Valley Fever",0.416670,36.750000,"Laikipia District, Rift Valley, Kenya",,,3
6772953,ProMED Middle East,2019-11-11 18:39:38,"PRO/MENA> Rift valley fever - Sudan (05): fatal, increasing ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6770715,ProMED Français,2019-11-10 16:59:25,"PRO/FR> Fièvre Jaune - Nigeria (03): (Nord)","Yellow Fever",9.593960,8.105310,"Nigeria",,,3
6761257,ProMED Middle East,2019-11-10 05:20:52,"PRO/MENA> Rift Valley fever - Sudan (03): (River Nile) sheep, goat, ...","Rift Valley Fever",19.000000,33.200001,"River Nile, Sudan",,,3
6761257,ProMED Middle East,2019-11-10 05:20:52,"PRO/MENA> Rift Valley fever - Sudan (03): (River Nile) sheep, goat, ...","Rift Valley Fever",19.000000,33.200001,"River Nile, Sudan",,,3
6759649,ProMED Middle East,2019-11-10 05:18:19,"PRO/MENA> Rift Valley fever - Sudan (04): (River Nile) fatal, ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6770678,ProMED Mail,2019-11-10 00:07:26,"PRO/AH/EDR> Yellow fever - Africa (24): Nigeria (KT, BA, BE)","Yellow Fever",12.250000,7.500000,"Katsina State, Nigeria",,,3
6770678,ProMED Mail,2019-11-10 00:07:26,"PRO/AH/EDR> Yellow fever - Africa (24): Nigeria (KT, BA, BE)","Yellow Fever",10.500000,10.000000,"Bauchi State, Nigeria",,,3
6770678,ProMED Mail,2019-11-10 00:07:26,"PRO/AH/EDR> Yellow fever - Africa (24): Nigeria (KT, BA, BE)","Yellow Fever",7.333333,8.750000,"Benue State, Nigeria",,,3
6769624,ProMED Mail,2019-11-08 20:24:55,"PRO/AH/EDR> Yellow fever - Africa (23): Nigeria (BA)","Yellow Fever",10.500000,10.000000,"Bauchi State, Nigeria",,,3
6769218,Google News,2019-11-08 13:22:47,"Federal Government Agencies Support Response To Increase In Yellow ...","Yellow Fever",10.500000,10.000000,"Bauchi State, Nigeria",,,3
6769218,Google News,2019-11-08 13:22:47,"Federal Government Agencies Support Response To Increase In Yellow ...","Yellow Fever",7.333333,8.750000,"Benue State, Nigeria",,,3
6769122,Google News,2019-11-08 12:05:54,"Malaria epidemic in Burundi is deadlier than EBOLA outbreak in DRC - ...","Malaria",-3.356170,29.887150,"Burundi",,,3
6769122,Google News,2019-11-08 12:05:54,"Malaria epidemic in Burundi is deadlier than EBOLA outbreak in DRC - ...","Malaria",-2.000000,25.000000,"DR Congo",,,3
6768177,ProMED Mail,2019-11-08 10:58:00,"PRO/AH/EDR> Zika virus (07): Americas, Asia, Africa, Europe, ...","Zika virus",-12.295290,17.544680,"Angola",,,1
6767147,ProMED Anglophone Africa,2019-11-08 08:26:57,"PRO/EAFR> Malaria - Burundi (02): increased cases, fatal","Malaria",-3.356170,29.887150,"Burundi",,,3
6767771,ProMED Mail,2019-11-07 22:34:55,"PRO/AH/EDR> Rift Valley fever - Sudan (06): Egypt, alertness, ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6767771,ProMED Mail,2019-11-07 22:34:55,"PRO/AH/EDR> Rift Valley fever - Sudan (06): Egypt, alertness, ...","Rift Valley Fever",26.494249,29.871960,"Egypt",,,3
6767771,ProMED Mail,2019-11-07 22:34:55,"PRO/AH/EDR> Rift Valley fever - Sudan (06): Egypt, alertness, ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6767771,ProMED Mail,2019-11-07 22:34:55,"PRO/AH/EDR> Rift Valley fever - Sudan (06): Egypt, alertness, ...","Rift Valley Fever",26.494249,29.871960,"Egypt",,,3
6765712,ProMED Mail,2019-11-07 00:28:28,"PRO/AH/EDR> Rift Valley fever - Sudan (05): (RN) livestock, human, OIE","Rift Valley Fever",19.000000,33.200001,"River Nile, Sudan",,,3
6761701,ProMED Français,2019-11-05 15:51:54,"PRO/FR> Dengue, riposte immédiate - Mali (02): (Bamako)","Dengue",17.350281,-3.524420,"Mali",,,3
6761700,ProMED Français,2019-11-05 15:46:06,"PRO/FR> Dengue, épidémie déclarée dans la capitale - Mali: (Bamako)","Dengue",17.350281,-3.524420,"Mali",,,3
6762794,Food and Agriculture Org,2019-10-31 00:00:00,"Confirmed Rift Valley fever in Gadaref, Sudan - human","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6762795,Food and Agriculture Org,2019-10-31 00:00:00,"Confirmed Rift Valley fever in Kassala, Sudan - human","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6762796,Food and Agriculture Org,2019-10-31 00:00:00,"Confirmed Rift Valley fever in White Nile, Sudan - human","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6762057,ProMED Mail,2019-11-05 01:20:09,"PRO/AH/EDR> Yellow fever - Africa (22): Nigeria (BA) susp.","Yellow Fever",10.500000,10.000000,"Bauchi State, Nigeria",,,3
6761123,Food and Agriculture Org,2019-11-03 00:00:00,"Confirmed Rift Valley fever in Nile, Sudan - goat, sheep","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6760762,Google News,2019-11-04 04:00:59,"MSF tackles severe malaria outbreak in western Sudan | MSF - Médecins ...","Malaria",13.831530,30.049950,"Sudan",,,4
6760182,Google News,2019-11-03 11:23:16,"Another suspected Yellow Fever outbreak kills 6 in Bauchi - Daily ...","Yellow Fever",10.500000,10.000000,"Bauchi State, Nigeria",,,3
6758945,ProMED Español,2019-11-02 11:02:07,"PRO/ESP> Malaria - Burundi: aumento explosivo de casos, menor ...","Malaria",-3.356170,29.887150,"Burundi",,,3
6758851,Google News,2019-11-02 07:41:42,"Rains to trigger malaria upsurge, health official warns - Daily ...","Malaria",1.279960,32.386219,"Uganda",,,4
6757207,ProMED Mail,2019-11-01 07:09:35,"PRO/EDR> Malaria - Kenya: (NK)","Malaria",-0.054950,36.127468,"Solai, Nakuru, Kenya",,,3
6757159,ProMED Middle East,2019-11-01 06:33:42,"PRO/MENA> Malaria - Sudan (03): (North Darfur) children, fatal / ...","Malaria",16.000000,25.500000,"North Darfur, Sudan",,,3
6756644,Google News,2019-10-31 18:27:00,"National spraying programme to fight malaria starts - Chronicle","Malaria",-19.000099,29.871840,"Zimbabwe",,,3
6756058,ProMED Español,2019-10-31 13:17:33,"PRO/ESP> Fiebre amarilla - NIgeria: brote extenso en progreso, muertes","Yellow Fever",9.593960,8.105310,"Nigeria",,,3
6754875,ProMED Mail,2019-10-31 06:38:15,"PRO/AH/EDR> Yellow fever - Africa (21): Nigeria (KT)","Yellow Fever",12.258990,7.617800,"Matazu, Katsina, Nigeria",,,3
6754637,Google News,2019-10-30 08:26:00,"WHO: More than 7 Million Malaria Cases in Burundi Outbreak - Tasnim ...","Malaria",-3.356170,29.887150,"Burundi",,,4
6753640,Google News,2019-10-30 09:27:56,"Malaria epidemic kills 10 in North Darfur - Radio Dabanga","Malaria",13.831530,30.049950,"Sudan",,,3
6753491,Google News,2019-10-30 08:43:38,"Residents urged to have regular checkups after 3 die of malaria in ...","Malaria",0.529860,37.857880,"Kenya",,,4
6752782,ProMED Mail,2019-10-30 06:20:05,"PRO/AH/EDR> Yellow fever - Africa (20): Uganda, card sale without vacc","Yellow Fever",1.279960,32.386219,"Uganda",,,3
6752944,Google News,2019-10-29 21:39:12,"Health Tips to Cover Before your Morocco Vacations | Buzz travel - ...","Malaria",31.883619,-6.317850,"Morocco",,,4
6752631,Twitter,2019-10-29 17:11:08,"NEWS SCAN: #Ebola cases rise; Another #MERS infection; #Lassa vaccine ...","Malaria",-3.356170,29.887150,"Burundi",,,3
6752346,Google News,2019-10-29 14:23:00,"Outbreak of 'strange illness' claims many in Katsina - Daily Trust","Yellow Fever",12.250000,7.500000,"Katsina State, Nigeria",,,3
6751955,Google News,2019-10-29 04:24:42,"Gambia: The Virtuous Leadership of Alhaji Sir Dawda Kairaba Jawara - ...","Malaria",13.500000,-15.500000,"Gambia",,,3
6751668,Google News,2019-10-29 07:23:00,"Zambia : Malaria death down by 70% - Lusaka Times","Malaria",-13.953020,27.798250,"Zambia",,,4
6750529,Google News,2019-10-28 13:27:33,"Rift Valley fever outbreak in Sudan - Outbreak News Today","Rift Valley Fever",13.831530,30.049950,"Sudan",,,4
6749524,Google News,2019-10-27 17:57:41,"Nigeria outbreaks 2019 - Outbreak News Today","Yellow Fever",9.593960,8.105310,"Nigeria",,,4
6748680,Google News,2019-10-24 02:06:38,"Rwandans Positive on Malaria Fight - Study - AllAfrica.com","Malaria",-1.997890,29.917650,"Rwanda",,,3
6748161,Google News,2019-10-26 11:16:10,"Africa: Burundi malaria cases rise to 6.8 million cases through ...","Malaria",-3.356170,29.887150,"Burundi",,,4
6745546,ProMED Mail,2019-10-25 15:46:42,"PRO/AH/EDR> Rift Valley fever - Sudan (04): human, livestock, spread, ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6745546,ProMED Mail,2019-10-25 15:46:42,"PRO/AH/EDR> Rift Valley fever - Sudan (04): human, livestock, spread, ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6746716,Google News,2019-10-25 11:27:08,"Panic in Nakuru village as 3 die of malaria in one week - Daily Nation","Malaria",0.529860,37.857880,"Kenya",,,4
6746179,Food and Agriculture Org,2019-10-24 00:00:00,"Confirmed Rift Valley fever in Khartoum, Sudan - human","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6746178,Food and Agriculture Org,2019-10-24 00:00:00,"Confirmed Rift Valley fever in Nile, Sudan - human","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6745082,Google News,2019-10-24 11:28:07,"NMCP trains 40 laboratory professionals on Malaria diagnostics in ...","Malaria",7.959850,-1.207300,"Ghana",,,3
6744723,Google News,2019-10-24 10:59:00,"Disease outbreaks in Sudan: Dengue Fever, Rift Valley Fever and ...","Dengue",13.831530,30.049950,"Sudan",,,4
6744723,Google News,2019-10-24 10:59:00,"Disease outbreaks in Sudan: Dengue Fever, Rift Valley Fever and ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,4
6743935,Google News,2019-10-24 02:10:00,"Africa 'highly unlikely' to meet 2030 deadline on malaria eradication ...","Malaria",9.054970,7.489590,"Abuja, Federal Capital Territory, Nigeria",,,4
6743618,Google News,2019-10-23 20:06:58,"Combating Malaria though Softgel Technology - THISDAY Newspapers","Malaria",9.593960,8.105310,"Nigeria",,,3
6740686,Google News,2019-10-22 10:00:48,"West Nile Delta project enhances Egypt's energy production - Dredging ...","West Nile Virus",26.494249,29.871960,"Egypt",,,3
6740505,Google News,2019-10-22 08:40:00,"What’s Worse: GMO Mosquitoes Or Dying Babies? Here’s The Real Cost Of ...","Malaria",-12.295290,17.544680,"Angola",,,4
6739345,Google News,2019-10-17 12:33:22,"Gene drive could help Uganda eliminate malaria - Alliance for Science","Malaria",1.279960,32.386219,"Uganda",,,4
6732812,ProMED Middle East,2019-10-20 11:01:28,"PRO/MENA> Rift Valley fever - Sudan (02): (River Nile) increasing ...","Rift Valley Fever",19.000000,33.200001,"River Nile, Sudan",,,3
6737199,Google News,2019-10-20 03:58:27,"Nigeria; what are we borrowing these trillions for? - The Nigerian ...","Malaria",9.593960,8.105310,"Nigeria",,,4
6737144,Google News,2019-10-20 04:25:00,"Lack of food pushes S.Sudan opposition troops to desert training ...","Malaria",13.831530,30.049950,"Sudan",,,3
6736571,ProMED Mail,2019-10-19 23:04:01,"PRO/AH/EDR> Rift Valley fever - Sudan (03): (RS, RN) human, ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6736571,ProMED Mail,2019-10-19 23:04:01,"PRO/AH/EDR> Rift Valley fever - Sudan (03): (RS, RN) human, ...","Rift Valley Fever",11.749680,42.577770,"Djibouti",,,3
6736571,ProMED Mail,2019-10-19 23:04:01,"PRO/AH/EDR> Rift Valley fever - Sudan (03): (RS, RN) human, ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6736571,ProMED Mail,2019-10-19 23:04:01,"PRO/AH/EDR> Rift Valley fever - Sudan (03): (RS, RN) human, ...","Rift Valley Fever",20.000000,36.000000,"Red Sea, Sudan",,,3
6736571,ProMED Mail,2019-10-19 23:04:01,"PRO/AH/EDR> Rift Valley fever - Sudan (03): (RS, RN) human, ...","Rift Valley Fever",19.000000,33.200001,"River Nile, Sudan",,,3
6736574,Google News,2019-10-14 13:52:33,"Ministry of Health confirms: Rift Valley Fever in River Nile state - ...","Rift Valley Fever",13.831530,30.049950,"Sudan",,,3
6735332,ProMED Mail,2019-10-18 19:51:24,"PRO/AH/EDR> Rift Valley fever - Eastern Africa (03): Kenya (GA) ...","Rift Valley Fever",0.529860,37.857880,"Kenya",,,3
6735332,ProMED Mail,2019-10-18 19:51:24,"PRO/AH/EDR> Rift Valley fever - Eastern Africa (03): Kenya (GA) ...","Rift Valley Fever",-0.456944,39.658333,"Garissa, North-Eastern, Kenya",,,3
6734432,Google News Português,2019-10-18 09:43:00,"Sharjah Charity International rescues flood victims in Sudan - WAM","Malaria",13.831530,30.049950,"Sudan",,,1
6726193,ProMED Middle East,2019-10-17 11:39:01,"PRO/MENA> Rift Valley fever - Sudan: (Red Sea) goat, OIE / حمي الوادي ...","Rift Valley Fever",20.000000,36.000000,"Red Sea, Sudan",,,3
6730956,Google News,2019-10-16 12:53:00,"USP Develops Test that Identifies Zika Virus More Accurately - Folha ...","Zika virus",9.916670,8.900000,"Jos, Plateau, Nigeria",,,3
